rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
1,-0.3416097059840599,0.0,-0.3571976895924968,0.0,0.17902898788452148,0.0,0.0023527145385742188,0.0,0.01,0.0,"{'model__alpha': 0.01, 'model__l1_ratio': 0.0}",-0.3416097059840599,-0.3571976895924968
2,-0.3417083631669716,0.0,-0.35730614672672084,0.0,0.05011272430419922,0.0,0.0020546913146972656,0.0,0.01,0.1,"{'model__alpha': 0.01, 'model__l1_ratio': 0.1}",-0.3417083631669716,-0.35730614672672084
3,-0.34182488079569096,0.0,-0.3574707288833659,0.0,0.039376020431518555,0.0,0.002669811248779297,0.0,0.01,0.2,"{'model__alpha': 0.01, 'model__l1_ratio': 0.2}",-0.34182488079569096,-0.3574707288833659
4,-0.3419319360363438,0.0,-0.35762608329236206,0.0,0.04338216781616211,0.0,0.0023212432861328125,0.0,0.01,0.30000000000000004,"{'model__alpha': 0.01, 'model__l1_ratio': 0.30000000000000004}",-0.3419319360363438,-0.35762608329236206
5,-0.3420671131200216,0.0,-0.3577641231027509,0.0,0.05097484588623047,0.0,0.002309560775756836,0.0,0.01,0.4,"{'model__alpha': 0.01, 'model__l1_ratio': 0.4}",-0.3420671131200216,-0.3577641231027509
6,-0.3420816693761329,0.0,-0.3571463497660456,0.0,0.15279912948608398,0.0,0.002340555191040039,0.0,0.001,1.0,"{'model__alpha': 0.001, 'model__l1_ratio': 1.0}",-0.3420816693761329,-0.3571463497660456
7,-0.3420843058414078,0.0,-0.3571383055178837,0.0,0.14466476440429688,0.0,0.0023522377014160156,0.0,0.001,0.9,"{'model__alpha': 0.001, 'model__l1_ratio': 0.9}",-0.3420843058414078,-0.3571383055178837
8,-0.34208632708690245,0.0,-0.35713234039768804,0.0,0.14521408081054688,0.0,0.002365589141845703,0.0,0.001,0.8,"{'model__alpha': 0.001, 'model__l1_ratio': 0.8}",-0.34208632708690245,-0.35713234039768804
9,-0.34208894217472513,0.0,-0.35712698982263164,0.0,0.14197850227355957,0.0,0.002299070358276367,0.0,0.001,0.7000000000000001,"{'model__alpha': 0.001, 'model__l1_ratio': 0.7000000000000001}",-0.34208894217472513,-0.35712698982263164
10,-0.3420921194538734,0.0,-0.35712225186226054,0.0,0.14443755149841309,0.0,0.0023272037506103516,0.0,0.001,0.6000000000000001,"{'model__alpha': 0.001, 'model__l1_ratio': 0.6000000000000001}",-0.3420921194538734,-0.35712225186226054
11,-0.3420958503512918,0.0,-0.357118132200912,0.0,0.14057493209838867,0.0,0.0023136138916015625,0.0,0.001,0.5,"{'model__alpha': 0.001, 'model__l1_ratio': 0.5}",-0.3420958503512918,-0.357118132200912
12,-0.3421001108467934,0.0,-0.3571146270060474,0.0,0.1490931510925293,0.0,0.002345561981201172,0.0,0.001,0.4,"{'model__alpha': 0.001, 'model__l1_ratio': 0.4}",-0.3421001108467934,-0.3571146270060474
13,-0.3421086070666835,0.0,-0.35710855645880046,0.0,0.15335583686828613,0.0,0.0023262500762939453,0.0,0.001,0.30000000000000004,"{'model__alpha': 0.001, 'model__l1_ratio': 0.30000000000000004}",-0.3421086070666835,-0.35710855645880046
14,-0.342119059697484,0.0,-0.3571035767009767,0.0,0.14784955978393555,0.0,0.0023958683013916016,0.0,0.001,0.2,"{'model__alpha': 0.001, 'model__l1_ratio': 0.2}",-0.342119059697484,-0.3571035767009767
15,-0.34213098016307464,0.0,-0.3571001554700532,0.0,0.1627368927001953,0.0,0.0023632049560546875,0.0,0.001,0.1,"{'model__alpha': 0.001, 'model__l1_ratio': 0.1}",-0.34213098016307464,-0.3571001554700532
16,-0.34214433239726977,0.0,-0.3570982805881919,0.0,0.14795923233032227,0.0,0.0023102760314941406,0.0,0.001,0.0,"{'model__alpha': 0.001, 'model__l1_ratio': 0.0}",-0.34214433239726977,-0.3570982805881919
17,-0.34219409666809353,0.0,-0.35709559080942777,0.0,0.06667590141296387,0.0,0.0023992061614990234,0.0,0.0001,1.0,"{'model__alpha': 0.0001, 'model__l1_ratio': 1.0}",-0.34219409666809353,-0.35709559080942777
18,-0.3421954620723134,0.0,-0.35709544718996644,0.0,0.06827306747436523,0.0,0.0024068355560302734,0.0,0.0001,0.9,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",-0.3421954620723134,-0.35709544718996644
19,-0.342196842518448,0.0,-0.35709532396641397,0.0,0.0766446590423584,0.0,0.0019314289093017578,0.0,0.0001,0.8,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.8}",-0.342196842518448,-0.35709532396641397
20,-0.3421982365396141,0.0,-0.35709521435065716,0.0,0.07868242263793945,0.0,0.0018546581268310547,0.0,0.0001,0.7000000000000001,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.7000000000000001}",-0.3421982365396141,-0.35709521435065716
21,-0.34219964489423915,0.0,-0.35709511678967076,0.0,0.08242249488830566,0.0,0.0022606849670410156,0.0,0.0001,0.6000000000000001,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.6000000000000001}",-0.34219964489423915,-0.35709511678967076
22,-0.34220106667604655,0.0,-0.35709503550511523,0.0,0.0908045768737793,0.0,0.002228975296020508,0.0,0.0001,0.5,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",-0.34220106667604655,-0.35709503550511523
23,-0.34220250062119645,0.0,-0.3570949706295657,0.0,0.09900522232055664,0.0,0.0022830963134765625,0.0,0.0001,0.4,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.4}",-0.34220250062119645,-0.3570949706295657
24,-0.3422039493940312,0.0,-0.3570949171646233,0.0,0.12648844718933105,0.0,0.002279996871948242,0.0,0.0001,0.30000000000000004,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.30000000000000004}",-0.3422039493940312,-0.3570949171646233
25,-0.3422054715683374,0.0,-0.35709488283456847,0.0,0.1620640754699707,0.0,0.002311229705810547,0.0,0.0001,0.2,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.2}",-0.3422054715683374,-0.35709488283456847
26,-0.3422056896140451,0.0,-0.3570947524121078,0.0,0.15488076210021973,0.0,0.00232696533203125,0.0,0.0001,0.1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",-0.3422056896140451,-0.3570947524121078
27,-0.3422080629069035,0.0,-0.35709461617136,0.0,0.18116450309753418,0.0,0.001913309097290039,0.0,0.0001,0.0,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.0}",-0.3422080629069035,-0.35709461617136
28,-0.3422294441905272,0.0,-0.3579309820185538,0.0,0.060244083404541016,0.0,0.0019030570983886719,0.0,0.01,0.5,"{'model__alpha': 0.01, 'model__l1_ratio': 0.5}",-0.3422294441905272,-0.3579309820185538
29,-0.34236605990100716,0.0,-0.3630808311201252,0.0,0.15111851692199707,0.0,0.0024852752685546875,0.0,0.1,0.0,"{'model__alpha': 0.1, 'model__l1_ratio': 0.0}",-0.34236605990100716,-0.3630808311201252
30,-0.3424193065593082,0.0,-0.35812719925577685,0.0,0.0843350887298584,0.0,0.002324342727661133,0.0,0.01,0.6000000000000001,"{'model__alpha': 0.01, 'model__l1_ratio': 0.6000000000000001}",-0.3424193065593082,-0.35812719925577685
31,-0.3426371385945221,0.0,-0.35835362287216616,0.0,0.08978915214538574,0.0,0.0021293163299560547,0.0,0.01,0.7000000000000001,"{'model__alpha': 0.01, 'model__l1_ratio': 0.7000000000000001}",-0.3426371385945221,-0.35835362287216616
32,-0.34286604480134164,0.0,-0.3586001519816392,0.0,0.060028791427612305,0.0,0.0023114681243896484,0.0,0.01,0.8,"{'model__alpha': 0.01, 'model__l1_ratio': 0.8}",-0.34286604480134164,-0.3586001519816392
33,-0.3431043095365672,0.0,-0.3588662050653807,0.0,0.048948049545288086,0.0,0.0023050308227539062,0.0,0.01,0.9,"{'model__alpha': 0.01, 'model__l1_ratio': 0.9}",-0.3431043095365672,-0.3588662050653807
34,-0.3433675602786816,0.0,-0.3591593179955365,0.0,0.040102243423461914,0.0,0.0018401145935058594,0.0,0.01,1.0,"{'model__alpha': 0.01, 'model__l1_ratio': 1.0}",-0.3433675602786816,-0.3591593179955365
35,-0.34683014430156833,0.0,-0.36595344197337837,0.0,0.011424064636230469,0.0,0.0023164749145507812,0.0,0.1,0.1,"{'model__alpha': 0.1, 'model__l1_ratio': 0.1}",-0.34683014430156833,-0.36595344197337837
36,-0.3503746741839448,0.0,-0.3692002124330191,0.0,0.012115001678466797,0.0,0.0018818378448486328,0.0,0.1,0.2,"{'model__alpha': 0.1, 'model__l1_ratio': 0.2}",-0.3503746741839448,-0.3692002124330191
37,-0.35519188998168516,0.0,-0.37341388172207785,0.0,0.014319896697998047,0.0,0.0023193359375,0.0,0.1,0.30000000000000004,"{'model__alpha': 0.1, 'model__l1_ratio': 0.30000000000000004}",-0.35519188998168516,-0.37341388172207785
38,-0.3591848992159128,0.0,-0.37752884860597363,0.0,0.013506174087524414,0.0,0.002314329147338867,0.0,0.1,0.4,"{'model__alpha': 0.1, 'model__l1_ratio': 0.4}",-0.3591848992159128,-0.37752884860597363
39,-0.3629148319347656,0.0,-0.38166770896975094,0.0,0.014003992080688477,0.0,0.002414226531982422,0.0,0.1,0.5,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",-0.3629148319347656,-0.38166770896975094
40,-0.3664960024464889,0.0,-0.3858656760919358,0.0,0.015176773071289062,0.0,0.0022683143615722656,0.0,0.1,0.6000000000000001,"{'model__alpha': 0.1, 'model__l1_ratio': 0.6000000000000001}",-0.3664960024464889,-0.3858656760919358
