Fiscal Year Released,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Return to Prison,Days to Return,Recidivism Type,Offense,New Offense
2013,5JD,Parole Granted,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,7JD,Paroled to Detainer - Out of State,White - Non-Hispanic,35-44,Male,Yes,724.0,Tech,Other-Other Criminal,No recidivism
2013,,Paroled w/Immediate Discharge,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,8JD,Parole Granted,Black - Non-Hispanic,45-54,Male,Yes,637.0,New,Property-Forgery/Fraud,Property-Theft
2014,,,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Public Order-Alcohol,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Female,No,,No Recidivism,Violent-Assault,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,Yes,1053.0,Tech,Property-Forgery/Fraud,Drug-Trafficking
2012,2JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,5JD,Parole,White - Non-Hispanic,Under 25,Female,Yes,334.0,Tech,Property-Theft,No recidivism
2011,7JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,4JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,431.0,New,Public Order-OWI,Property-Vandalism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,569.0,New,Property-Burglary,Property-Burglary
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Yes,846.0,New,Drug-Trafficking,Public Order-Traffic
2015,6JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,Yes,412.0,New,Property-Burglary,Other-Other Criminal
2015,1JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,211.0,New,Property-Burglary,Property-Burglary
2012,8JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Female,Yes,1039.0,New,Drug-Trafficking,Property-Forgery/Fraud
2014,5JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,Under 25,Female,Yes,407.0,Tech,Property-Theft,No recidivism
2015,1JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2011,3JD,Parole,White - Non-Hispanic,25-34,Male,Yes,142.0,Tech,Property-Burglary,No recidivism
2015,2JD,Released to Special Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,7JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,ISC,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,323.0,New,Drug-Drug Possession,Drug-Drug Possession
2013,3JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2011,Interstate Compact,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,7JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2015,1JD,Released to Special Sentence,White - Non-Hispanic,25-34,Male,Yes,361.0,New,Other-Other Criminal,Other-Other Criminal
2011,,Discharged – End of Sentence,White - Hispanic,Under 25,Female,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Yes,891.0,New,Violent-Assault,Violent-Assault
2015,8JD,Paroled to Detainer - Iowa,White - Non-Hispanic,Under 25,Male,Yes,131.0,New,Violent-Sex,Property-Burglary
2015,6JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,394.0,Tech,Property-Burglary,Property-Burglary
2011,5JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,791.0,New,Drug-Trafficking,Property-Theft
2012,7JD,Parole,White - Non-Hispanic,25-34,Male,Yes,210.0,New,Other-Other Criminal,Drug-Drug Possession
2013,8JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Kidnap,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Yes,733.0,New,Property-Theft,Public Order-Alcohol
2010,,Discharged – End of Sentence,White - Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,1JD,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,Yes,270.0,New,Drug-Drug Possession,Violent-Assault
2015,7JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,576.0,New,Drug-Trafficking,Drug-Trafficking
